100 150 120
90 270
59 31 98 1
1 63 21 6 18
1 53 26 2 6
2 89 29 4 12
2 41 26 4 12
3 91 10 5 15
4 10 5 5 15
5 82 21 1 3
7 80 7 3 9
8 30 10 2 6
9 62 20 3 9
10 65 30 1 3
11 62 23 6 18
11 14 21 6 18
11 65 6 4 12
13 42 8 1 3
14 16 7 5 15
15 95 20 1 3
15 22 8 1 3
16 94 9 6 18
16 75 25 3 9
17 95 15 6 18
17 86 5 5 15
18 70 30 2 6
19 65 10 1 3
19 27 10 2 6
19 79 7 1 3
20 90 12 2 6
22 84 20 6 18
22 23 24 3 9
22 82 25 2 6
24 53 6 3 9
24 81 19 6 18
25 26 10 2 6
26 36 6 3 9
27 38 25 5 15
28 82 15 2 6
28 45 6 2 6
30 90 19 5 15
31 80 5 1 3
32 60 28 3 9
33 76 8 5 15
34 78 23 3 9
35 77 19 1 3
35 83 15 6 18
36 91 18 4 12
37 59 14 3 9
38 53 6 2 6
38 83 14 4 12
39 83 28 1 3
40 65 23 4 12
41 86 13 1 3
42 84 22 3 9
43 44 19 3 9
43 58 11 1 3
44 47 5 4 12
46 66 27 3 9
47 49 8 1 3
48 79 30 6 18
48 58 15 2 6
48 51 30 3 9
49 84 5 5 15
49 94 6 5 15
50 63 29 5 15
50 58 26 5 15
51 55 19 4 12
52 90 27 3 9
53 86 30 3 9
54 100 26 1 3
55 74 10 5 15
55 59 20 6 18
56 69 11 1 3
58 71 15 2 6
59 69 11 1 3
59 81 11 5 15
60 65 7 4 12
61 95 13 5 15
61 99 25 3 9
61 91 10 2 6
63 65 21 6 18
64 71 18 4 12
65 69 13 3 9
65 75 30 1 3
66 67 15 4 12
67 87 13 4 12
69 71 6 5 15
70 83 7 4 12
71 78 10 5 15
72 91 5 2 6
73 86 8 2 6
73 83 5 2 6
73 83 25 4 12
74 98 9 2 6
75 100 23 4 12
76 84 16 6 18
77 96 28 3 9
77 82 25 4 12
77 83 10 5 15
78 99 27 5 15
79 93 12 4 12
80 96 21 6 18
81 86 23 2 6
81 85 5 6 18
81 88 6 3 9
82 93 15 6 18
83 84 24 4 12
84 98 10 3 9
85 86 5 5 15
86 99 20 4 12
87 92 18 6 18
89 98 5 2 6
90 94 27 2 6
91 92 7 5 15
93 98 26 5 15
94 100 29 3 9
95 100 21 6 18
96 98 5 4 12
97 100 24 3 9
98 100 29 2 6
98 99 27 2 6
99 100 28 4 12
78 86 11 0 0
88 99 27 0 0
60 80 23 0 0
57 76 6 0 0
62 83 17 0 0
20 64 7 0 0
98 100 25 0 0
3 97 17 0 0
7 99 25 0 0
9 29 30 0 0
46 76 8 0 0
29 46 10 0 0
52 62 7 0 0
2 34 19 0 0
78 85 24 0 0
34 92 17 0 0
45 71 11 0 0
17 85 27 0 0
23 97 18 0 0
86 99 11 0 0
97 99 7 0 0
12 20 12 0 0
77 94 17 0 0
68 73 21 0 0
21 99 6 0 0
35 38 13 0 0
6 46 6 0 0
60 88 29 0 0
92 93 10 0 0
77 99 30 0 0
