150 200 160
80 80 160
36 131 55 112 104
2 84 29 5 5 10
3 22 18 2 2 4
4 65 23 4 4 8
5 144 27 4 4 8
6 111 18 1 1 2
7 54 9 2 2 4
8 12 7 3 3 6
10 117 9 5 5 10
11 31 21 1 1 2
12 53 5 5 5 10
12 28 27 5 5 10
13 130 26 6 6 12
13 123 21 6 6 12
14 35 22 4 4 8
15 98 10 5 5 10
15 92 21 3 3 6
16 145 15 3 3 6
17 21 22 1 1 2
18 124 28 3 3 6
19 114 28 3 3 6
20 59 20 4 4 8
21 112 22 4 4 8
21 43 13 1 1 2
22 101 6 2 2 4
23 61 15 6 6 12
24 93 28 6 6 12
24 68 11 6 6 12
25 118 20 6 6 12
26 95 14 1 1 2
26 49 29 1 1 2
27 112 22 6 6 12
27 59 8 6 6 12
28 143 28 2 2 4
29 83 16 2 2 4
31 113 17 1 1 2
32 91 5 3 3 6
33 106 9 5 5 10
34 37 30 2 2 4
36 74 27 4 4 8
37 80 24 5 5 10
38 131 27 2 2 4
39 111 21 4 4 8
39 72 26 4 4 8
40 99 7 2 2 4
40 87 28 4 4 8
41 65 13 4 4 8
43 66 20 1 1 2
44 105 7 2 2 4
45 104 22 6 6 12
46 79 16 6 6 12
47 80 13 1 1 2
48 110 19 6 6 12
49 118 30 1 1 2
51 144 14 6 6 12
52 95 12 5 5 10
53 147 12 3 3 6
54 81 18 2 2 4
56 104 26 5 5 10
59 128 18 3 3 6
60 98 12 6 6 12
61 63 25 3 3 6
62 70 8 2 2 4
62 98 5 3 3 6
63 66 15 4 4 8
63 129 7 4 4 8
66 101 6 1 1 2
66 104 5 5 5 10
69 119 22 5 5 10
70 148 5 2 2 4
71 87 21 2 2 4
72 81 10 5 5 10
73 132 17 6 6 12
74 123 14 1 1 2
76 109 22 5 5 10
77 135 6 6 6 12
78 123 7 3 3 6
79 91 25 3 3 6
79 105 8 3 3 6
80 108 28 4 4 8
81 91 21 4 4 8
81 84 26 6 6 12
82 98 16 1 1 2
84 99 11 5 5 10
85 96 16 3 3 6
86 106 9 6 6 12
87 114 11 2 2 4
88 105 6 3 3 6
89 106 6 1 1 2
89 143 6 5 5 10
89 102 16 2 2 4
90 119 12 5 5 10
91 132 11 4 4 8
91 148 15 4 4 8
93 106 21 5 5 10
93 95 30 2 2 4
95 148 11 3 3 6
96 109 20 2 2 4
98 100 11 5 5 10
99 139 25 5 5 10
100 124 13 3 3 6
101 146 13 1 1 2
102 104 18 4 4 8
103 134 18 2 2 4
104 129 6 4 4 8
105 129 14 2 2 4
106 150 9 5 5 10
107 149 17 6 6 12
111 114 27 3 3 6
113 130 13 5 5 10
114 119 11 3 3 6
115 148 13 1 1 2
116 134 14 4 4 8
117 147 7 6 6 12
118 144 6 5 5 10
119 123 30 1 1 2
120 131 10 4 4 8
120 125 5 4 4 8
121 131 24 3 3 6
122 132 24 3 3 6
122 149 23 6 6 12
123 147 22 1 1 2
123 129 5 2 2 4
123 134 30 4 4 8
124 126 8 6 6 12
125 149 6 2 2 4
127 130 20 1 1 2
127 139 5 6 6 12
128 150 28 2 2 4
129 143 24 1 1 2
130 144 6 6 6 12
130 141 14 3 3 6
130 138 27 4 4 8
131 143 22 6 6 12
131 138 11 1 1 2
132 141 9 3 3 6
133 140 20 2 2 4
133 150 13 4 4 8
134 145 27 1 1 2
134 139 15 6 6 12
135 148 10 5 5 10
136 141 6 3 3 6
136 137 25 5 5 10
137 138 23 4 4 8
137 147 23 6 6 12
138 139 22 3 3 6
139 145 15 4 4 8
139 145 29 2 2 4
140 141 18 4 4 8
140 143 22 4 4 8
140 144 19 4 4 8
141 147 15 5 5 10
142 145 10 4 4 8
143 147 27 4 4 8
144 150 24 1 1 2
145 148 19 5 5 10
146 149 15 2 2 4
146 149 19 3 3 6
147 148 5 5 5 10
148 149 29 3 3 6
149 150 14 5 5 10
30 117 29 0 0 0
35 145 18 0 0 0
57 146 27 0 0 0
92 109 26 0 0 0
14 141 5 0 0 0
106 124 30 0 0 0
3 125 8 0 0 0
65 69 18 0 0 0
117 146 16 0 0 0
107 119 17 0 0 0
9 109 20 0 0 0
48 74 25 0 0 0
108 135 14 0 0 0
67 71 10 0 0 0
112 119 17 0 0 0
126 132 26 0 0 0
9 149 21 0 0 0
68 108 26 0 0 0
70 144 5 0 0 0
58 82 12 0 0 0
137 145 26 0 0 0
110 125 13 0 0 0
75 137 15 0 0 0
130 148 29 0 0 0
121 141 5 0 0 0
18 87 8 0 0 0
64 79 20 0 0 0
91 131 28 0 0 0
1 113 18 0 0 0
97 147 19 0 0 0
94 109 27 0 0 0
50 140 9 0 0 0
35 80 16 0 0 0
55 56 24 0 0 0
42 137 16 0 0 0
83 102 15 0 0 0
48 97 5 0 0 0
21 131 21 0 0 0
109 115 19 0 0 0
87 149 17 0 0 0
