150 200 160
70 70 140
56 39 92 101 114
1 38 25 6 6 12
1 143 20 5 5 10
2 55 27 4 4 8
3 22 19 6 6 12
4 123 6 6 6 12
4 27 9 6 6 12
7 83 19 6 6 12
8 58 13 6 6 12
9 80 10 3 3 6
10 92 28 1 1 2
11 150 28 6 6 12
11 110 8 4 4 8
12 150 19 6 6 12
13 32 6 3 3 6
14 109 24 2 2 4
15 103 17 1 1 2
15 81 5 6 6 12
17 119 10 4 4 8
18 105 30 6 6 12
19 129 19 4 4 8
20 115 6 2 2 4
20 54 20 1 1 2
21 26 19 4 4 8
21 87 17 6 6 12
22 38 12 6 6 12
22 28 20 6 6 12
24 135 10 5 5 10
25 38 16 4 4 8
26 100 8 6 6 12
27 36 23 1 1 2
29 131 16 3 3 6
31 69 12 1 1 2
32 67 9 6 6 12
33 42 27 5 5 10
34 126 21 5 5 10
35 127 18 2 2 4
36 138 13 3 3 6
37 117 30 2 2 4
38 126 18 5 5 10
39 108 12 3 3 6
40 114 13 2 2 4
41 136 12 6 6 12
42 130 18 1 1 2
43 49 8 1 1 2
44 114 9 6 6 12
45 94 19 3 3 6
46 56 11 5 5 10
47 103 14 1 1 2
47 134 8 1 1 2
48 76 10 6 6 12
48 108 13 4 4 8
49 79 14 2 2 4
50 148 30 5 5 10
51 52 13 3 3 6
51 148 7 6 6 12
52 141 5 3 3 6
52 80 13 3 3 6
53 119 13 3 3 6
54 140 10 4 4 8
55 127 25 6 6 12
56 147 19 5 5 10
58 89 21 3 3 6
59 99 11 6 6 12
60 133 24 2 2 4
61 147 6 6 6 12
61 87 27 5 5 10
62 95 14 5 5 10
63 98 16 3 3 6
64 115 30 1 1 2
65 100 17 1 1 2
66 104 10 1 1 2
66 92 15 5 5 10
67 90 19 5 5 10
67 84 20 5 5 10
68 112 8 2 2 4
68 74 25 5 5 10
70 125 13 1 1 2
72 77 22 2 2 4
73 130 18 1 1 2
74 84 26 2 2 4
76 85 7 3 3 6
77 117 6 2 2 4
77 78 19 5 5 10
77 145 17 1 1 2
78 137 5 4 4 8
79 92 23 6 6 12
81 127 16 5 5 10
82 148 24 1 1 2
82 115 25 1 1 2
83 137 29 6 6 12
84 97 14 2 2 4
85 91 14 5 5 10
86 146 24 4 4 8
87 90 19 3 3 6
89 132 25 3 3 6
89 114 18 2 2 4
90 129 18 1 1 2
90 119 14 6 6 12
91 142 11 3 3 6
91 133 29 6 6 12
92 143 28 3 3 6
94 105 22 4 4 8
95 110 16 1 1 2
96 113 22 2 2 4
97 124 28 4 4 8
99 103 25 2 2 4
99 104 11 3 3 6
100 122 16 5 5 10
100 142 18 1 1 2
101 141 27 3 3 6
103 140 29 3 3 6
104 109 7 5 5 10
105 118 10 1 1 2
106 109 11 3 3 6
107 129 28 4 4 8
107 134 9 3 3 6
108 138 10 1 1 2
109 116 9 1 1 2
109 134 20 5 5 10
112 149 10 5 5 10
113 136 10 2 2 4
114 133 28 2 2 4
115 130 7 4 4 8
115 140 8 6 6 12
116 124 14 5 5 10
118 149 7 6 6 12
119 142 9 1 1 2
119 146 8 4 4 8
120 137 21 3 3 6
121 150 16 3 3 6
122 127 20 4 4 8
123 146 22 6 6 12
124 141 8 6 6 12
125 148 24 6 6 12
126 132 13 6 6 12
127 131 12 3 3 6
129 146 9 2 2 4
130 134 19 3 3 6
131 143 10 4 4 8
131 132 20 5 5 10
132 145 19 6 6 12
133 145 26 4 4 8
135 150 26 5 5 10
135 142 6 4 4 8
136 149 10 3 3 6
137 145 9 3 3 6
138 143 30 1 1 2
139 143 14 4 4 8
140 148 22 2 2 4
141 142 21 2 2 4
143 149 9 6 6 12
143 148 20 6 6 12
144 145 30 6 6 12
144 149 13 1 1 2
145 149 5 6 6 12
146 148 7 3 3 6
147 148 22 1 1 2
147 148 26 6 6 12
148 149 6 1 1 2
148 149 8 1 1 2
36 127 30 0 0 0
57 83 22 0 0 0
110 131 8 0 0 0
117 128 17 0 0 0
102 132 29 0 0 0
90 144 16 0 0 0
14 100 12 0 0 0
35 38 9 0 0 0
42 137 12 0 0 0
85 123 6 0 0 0
80 131 17 0 0 0
134 137 30 0 0 0
62 143 12 0 0 0
128 131 27 0 0 0
111 125 25 0 0 0
23 147 16 0 0 0
40 63 12 0 0 0
96 141 17 0 0 0
113 147 27 0 0 0
30 134 29 0 0 0
6 18 29 0 0 0
111 128 5 0 0 0
32 47 16 0 0 0
69 143 19 0 0 0
71 72 27 0 0 0
98 142 12 0 0 0
75 132 18 0 0 0
28 134 11 0 0 0
98 135 27 0 0 0
10 115 25 0 0 0
8 125 28 0 0 0
8 105 24 0 0 0
88 118 24 0 0 0
149 150 25 0 0 0
142 144 13 0 0 0
93 120 30 0 0 0
93 150 15 0 0 0
5 66 26 0 0 0
120 127 15 0 0 0
16 90 5 0 0 0
