150 200 160
50 50 100
118 104 100 99 60
1 70 21 1 1 2
2 9 14 6 6 12
3 77 8 4 4 8
4 8 13 1 1 2
5 28 10 2 2 4
6 94 10 1 1 2
7 141 10 3 3 6
7 45 28 3 3 6
7 86 24 5 5 10
8 117 30 5 5 10
9 48 18 4 4 8
9 47 6 3 3 6
10 104 7 1 1 2
10 83 14 4 4 8
11 62 14 3 3 6
12 54 20 3 3 6
12 38 19 1 1 2
13 47 27 6 6 12
13 35 25 4 4 8
14 138 14 5 5 10
14 98 20 6 6 12
15 104 21 1 1 2
16 30 14 2 2 4
17 147 22 5 5 10
18 30 8 5 5 10
18 85 13 6 6 12
20 98 19 1 1 2
21 93 9 2 2 4
24 129 21 4 4 8
26 44 19 3 3 6
28 122 11 6 6 12
28 106 20 5 5 10
29 150 13 4 4 8
29 123 5 6 6 12
30 62 15 4 4 8
30 135 21 3 3 6
30 88 26 4 4 8
31 67 23 4 4 8
32 150 17 5 5 10
33 83 27 5 5 10
34 133 25 6 6 12
35 82 20 4 4 8
35 81 6 3 3 6
35 59 29 4 4 8
36 60 22 5 5 10
37 68 29 4 4 8
38 74 14 3 3 6
39 56 28 4 4 8
39 149 11 3 3 6
41 72 23 3 3 6
42 150 18 3 3 6
43 54 14 5 5 10
44 89 12 6 6 12
45 50 30 4 4 8
46 59 27 6 6 12
47 57 12 5 5 10
48 60 9 3 3 6
49 103 7 3 3 6
53 102 15 3 3 6
53 96 24 6 6 12
54 118 28 5 5 10
55 134 26 1 1 2
56 142 6 3 3 6
57 104 21 5 5 10
58 77 23 3 3 6
58 148 11 3 3 6
58 88 5 6 6 12
59 96 8 1 1 2
60 75 17 6 6 12
61 62 29 2 2 4
62 71 17 1 1 2
62 141 19 6 6 12
63 79 10 6 6 12
63 80 12 1 1 2
63 70 17 3 3 6
64 80 19 5 5 10
65 102 29 3 3 6
66 105 29 5 5 10
66 118 27 4 4 8
67 132 8 5 5 10
68 74 7 1 1 2
68 117 15 5 5 10
69 74 16 1 1 2
71 109 9 3 3 6
73 116 15 3 3 6
74 100 8 3 3 6
75 130 26 2 2 4
75 140 19 5 5 10
75 90 19 1 1 2
76 92 19 5 5 10
77 133 15 2 2 4
78 140 27 4 4 8
79 143 26 2 2 4
82 149 29 5 5 10
82 146 29 1 1 2
83 114 22 5 5 10
84 146 10 2 2 4
84 86 7 5 5 10
86 150 14 2 2 4
87 149 15 6 6 12
88 143 22 6 6 12
89 146 9 5 5 10
90 132 20 3 3 6
91 121 8 3 3 6
92 126 21 1 1 2
93 95 18 4 4 8
94 138 20 3 3 6
94 143 12 1 1 2
96 132 10 6 6 12
97 137 5 2 2 4
100 134 13 1 1 2
101 150 17 5 5 10
103 128 8 4 4 8
104 115 16 6 6 12
106 120 20 6 6 12
107 134 16 1 1 2
107 121 12 4 4 8
108 110 30 6 6 12
109 139 9 3 3 6
110 127 19 5 5 10
112 114 24 2 2 4
112 124 28 4 4 8
113 145 12 3 3 6
114 129 27 6 6 12
115 121 14 1 1 2
116 123 30 5 5 10
117 124 8 3 3 6
118 125 21 2 2 4
119 145 28 2 2 4
119 144 14 4 4 8
120 147 27 1 1 2
122 135 28 2 2 4
122 140 26 2 2 4
123 148 20 5 5 10
124 146 15 5 5 10
125 132 16 5 5 10
128 132 12 3 3 6
129 148 25 4 4 8
129 140 8 5 5 10
130 144 12 6 6 12
131 150 19 5 5 10
132 144 14 4 4 8
133 144 30 6 6 12
134 140 27 1 1 2
135 147 16 1 1 2
136 147 21 5 5 10
137 147 24 4 4 8
138 143 7 1 1 2
138 141 14 6 6 12
139 146 14 1 1 2
141 144 18 1 1 2
142 150 19 4 4 8
143 148 28 2 2 4
143 148 29 1 1 2
144 146 5 6 6 12
145 150 24 4 4 8
146 149 24 6 6 12
147 148 16 3 3 6
147 150 30 5 5 10
149 150 13 2 2 4
121 144 7 0 0 0
40 102 17 0 0 0
77 94 28 0 0 0
148 150 30 0 0 0
99 141 17 0 0 0
64 90 7 0 0 0
1 36 17 0 0 0
52 53 8 0 0 0
95 114 18 0 0 0
70 126 20 0 0 0
9 126 13 0 0 0
25 102 28 0 0 0
68 147 26 0 0 0
22 112 6 0 0 0
141 148 8 0 0 0
72 142 20 0 0 0
102 105 12 0 0 0
23 96 22 0 0 0
80 148 18 0 0 0
100 150 23 0 0 0
12 36 11 0 0 0
58 128 27 0 0 0
85 116 20 0 0 0
65 100 17 0 0 0
41 71 19 0 0 0
50 77 28 0 0 0
27 89 6 0 0 0
98 116 29 0 0 0
117 136 18 0 0 0
19 110 20 0 0 0
51 95 18 0 0 0
34 45 22 0 0 0
111 148 5 0 0 0
33 106 29 0 0 0
149 150 28 0 0 0
127 129 14 0 0 0
140 149 19 0 0 0
126 144 24 0 0 0
105 130 14 0 0 0
81 105 22 0 0 0
