100 150 120
60 180
44 40 12 8
1 51 14 1 3
2 52 9 2 6
3 77 25 6 18
3 34 10 2 6
4 29 28 4 12
5 48 21 1 3
6 15 13 6 18
6 24 21 4 12
8 78 9 5 15
10 60 5 1 3
10 31 9 1 3
11 98 7 2 6
12 99 5 1 3
13 97 29 5 15
14 47 10 6 18
15 35 6 3 9
15 77 12 2 6
16 33 30 2 6
16 61 21 6 18
17 37 12 3 9
18 32 29 1 3
19 27 15 1 3
20 63 19 4 12
21 58 11 6 18
22 90 22 6 18
23 55 21 3 9
23 76 6 3 9
23 38 14 1 3
24 90 25 4 12
24 81 25 2 6
25 84 17 5 15
26 70 7 2 6
27 83 27 6 18
28 34 26 3 9
29 95 7 5 15
30 91 11 1 3
32 75 23 2 6
33 90 17 2 6
34 57 17 5 15
35 46 12 5 15
35 57 7 6 18
36 91 14 2 6
37 41 5 6 18
38 48 5 3 9
39 60 21 4 12
40 72 12 6 18
42 57 26 2 6
43 78 24 3 9
44 62 21 4 12
44 45 21 6 18
45 57 23 2 6
46 48 30 3 9
47 72 12 2 6
49 54 21 5 15
51 100 5 6 18
52 85 22 3 9
52 87 29 6 18
53 76 16 3 9
54 70 8 2 6
56 69 22 2 6
56 68 24 5 15
58 91 24 6 18
58 64 22 3 9
59 88 23 5 15
61 66 30 3 9
62 73 7 2 6
63 87 26 6 18
63 64 19 1 3
64 84 21 4 12
65 83 13 5 15
65 74 17 6 18
66 95 30 6 18
66 79 11 5 15
67 99 8 6 18
68 95 15 5 15
69 93 25 4 12
69 90 16 6 18
69 81 20 5 15
70 77 30 5 15
72 100 7 6 18
72 93 26 1 3
73 94 13 4 12
74 85 25 2 6
75 95 23 3 9
75 97 15 1 3
76 94 17 2 6
77 96 14 2 6
78 92 16 3 9
79 96 30 6 18
80 92 23 5 15
80 83 13 5 15
81 94 30 6 18
82 84 18 3 9
83 89 22 6 18
84 90 25 6 18
84 91 8 3 9
84 88 18 2 6
85 98 9 2 6
86 96 11 3 9
86 90 17 4 12
87 93 29 4 12
87 95 14 1 3
87 90 22 6 18
89 90 26 4 12
90 95 22 1 3
91 96 18 4 12
92 93 28 6 18
93 100 5 5 15
94 96 16 2 6
94 100 16 6 18
95 97 27 4 12
95 98 25 6 18
95 100 13 4 12
95 97 29 5 15
96 100 22 5 15
96 99 26 6 18
97 99 9 3 9
98 99 14 2 6
99 100 19 6 18
99 100 20 5 15
64 75 26 0 0
84 87 9 0 0
26 93 10 0 0
62 67 22 0 0
60 87 29 0 0
80 87 28 0 0
47 77 11 0 0
7 94 14 0 0
55 62 23 0 0
45 83 25 0 0
63 93 7 0 0
31 87 17 0 0
81 94 25 0 0
78 81 19 0 0
93 98 9 0 0
41 98 17 0 0
64 80 28 0 0
80 91 29 0 0
48 81 20 0 0
71 86 9 0 0
90 98 23 0 0
88 95 11 0 0
48 62 11 0 0
98 99 8 0 0
25 57 16 0 0
50 65 25 0 0
57 65 7 0 0
9 56 13 0 0
59 64 13 0 0
56 78 17 0 0
