100 150 120
50 150
41 71 68 20
1 82 14 3 9
1 42 26 6 18
3 21 23 5 15
4 12 22 5 15
6 39 27 2 6
7 18 17 4 12
8 30 23 6 18
8 92 27 1 3
9 74 17 5 15
9 31 20 3 9
10 62 6 2 6
10 44 7 6 18
11 46 5 6 18
11 70 12 3 9
12 89 9 1 3
13 60 10 4 12
15 78 7 3 9
15 26 19 6 18
16 74 29 2 6
17 67 10 6 18
18 27 21 2 6
19 36 23 2 6
19 24 18 5 15
19 49 12 6 18
20 82 14 1 3
21 24 14 6 18
22 38 15 1 3
23 31 6 2 6
24 38 28 5 15
24 25 29 6 18
25 97 19 3 9
26 39 11 6 18
27 31 8 1 3
29 98 8 5 15
30 82 11 4 12
31 77 24 1 3
32 84 25 5 15
33 98 10 1 3
34 41 9 4 12
35 53 30 4 12
35 82 30 4 12
37 60 13 1 3
37 69 10 6 18
37 85 9 2 6
38 79 15 4 12
38 65 15 2 6
39 91 14 5 15
40 81 28 5 15
41 55 10 4 12
43 60 27 6 18
44 58 13 3 9
45 84 16 2 6
45 79 26 4 12
45 90 9 3 9
46 99 19 1 3
46 51 12 1 3
47 67 26 6 18
48 55 16 3 9
49 78 29 3 9
50 77 7 2 6
51 80 16 1 3
51 67 15 3 9
52 54 7 1 3
53 87 20 2 6
53 72 9 3 9
54 71 29 6 18
55 62 15 5 15
55 61 26 5 15
56 66 25 5 15
56 74 30 4 12
57 65 10 6 18
58 94 17 3 9
59 73 27 2 6
60 68 27 3 9
61 72 5 4 12
62 79 7 1 3
63 89 26 5 15
64 76 18 5 15
65 66 28 4 12
65 81 19 5 15
67 90 27 2 6
68 83 11 3 9
69 88 15 5 15
69 84 24 6 18
70 72 21 1 3
70 92 18 1 3
71 98 25 2 6
72 90 13 4 12
74 89 29 1 3
75 84 6 3 9
75 83 20 2 6
76 94 13 1 3
76 90 16 2 6
77 100 23 1 3
77 96 19 2 6
80 98 21 4 12
81 88 22 4 12
81 99 23 1 3
81 94 27 2 6
82 94 13 1 3
83 98 30 2 6
84 92 23 4 12
84 98 5 4 12
85 94 16 5 15
85 86 21 6 18
86 91 22 4 12
86 88 10 5 15
87 96 18 4 12
88 90 18 5 15
90 91 10 1 3
92 95 19 3 9
93 99 29 4 12
94 98 27 2 6
95 99 24 4 12
96 98 5 2 6
96 97 19 2 6
97 98 22 2 6
98 100 13 6 18
99 100 27 1 3
99 100 14 4 12
42 58 25 0 0
92 99 23 0 0
9 42 21 0 0
51 71 6 0 0
89 91 28 0 0
70 88 19 0 0
14 48 12 0 0
41 72 13 0 0
3 6 19 0 0
49 98 28 0 0
5 10 12 0 0
66 97 22 0 0
5 65 23 0 0
49 97 17 0 0
73 78 6 0 0
61 63 14 0 0
97 99 22 0 0
36 80 18 0 0
81 93 23 0 0
53 68 28 0 0
91 93 24 0 0
58 71 21 0 0
71 82 25 0 0
51 88 14 0 0
2 36 26 0 0
79 83 25 0 0
78 97 20 0 0
34 83 15 0 0
34 96 26 0 0
28 54 11 0 0
