100 150 120
80 240
8 19 82 74
1 65 17 4 12
2 46 6 4 12
3 81 8 5 15
4 10 9 4 12
6 93 24 4 12
7 11 26 5 15
7 57 17 5 15
8 67 8 1 3
9 79 19 3 9
9 38 29 6 18
10 77 26 2 6
11 82 10 1 3
11 90 7 1 3
11 83 30 1 3
14 42 16 6 18
14 20 27 4 12
15 22 28 1 3
15 31 30 6 18
16 41 17 3 9
17 43 5 3 9
17 49 18 2 6
18 72 8 3 9
18 32 7 2 6
18 58 29 4 12
19 67 29 1 3
20 55 5 4 12
20 82 7 2 6
21 31 16 1 3
22 57 29 2 6
22 37 17 6 18
24 36 7 2 6
24 32 16 3 9
25 55 5 3 9
26 31 17 6 18
28 68 14 1 3
28 33 18 4 12
28 95 5 5 15
30 79 15 4 12
31 74 24 5 15
31 47 10 2 6
32 80 7 2 6
33 79 10 5 15
34 96 16 6 18
34 35 25 1 3
35 45 8 1 3
36 60 18 5 15
37 63 16 3 9
39 96 13 2 6
39 69 21 3 9
40 82 7 6 18
40 43 18 3 9
41 85 12 6 18
42 84 9 4 12
43 87 30 4 12
44 66 8 4 12
44 83 19 4 12
45 88 5 5 15
45 71 9 4 12
46 83 23 5 15
47 94 9 3 9
48 58 25 5 15
48 83 24 2 6
49 82 15 3 9
50 81 15 6 18
51 67 12 1 3
52 72 12 4 12
52 82 29 2 6
52 78 28 2 6
52 83 14 3 9
53 75 27 4 12
54 59 21 6 18
55 70 7 6 18
57 89 24 3 9
58 97 12 5 15
59 84 11 6 18
60 90 6 5 15
61 87 28 2 6
62 72 18 3 9
63 97 22 3 9
63 98 19 2 6
64 72 20 6 18
65 75 26 6 18
65 85 20 2 6
68 69 28 6 18
69 76 24 4 12
70 75 13 4 12
71 88 16 2 6
72 99 9 2 6
73 97 6 2 6
74 84 30 2 6
74 76 28 2 6
75 93 20 6 18
77 78 23 6 18
78 93 8 1 3
78 99 8 2 6
79 95 30 3 9
80 87 14 1 3
80 92 23 3 9
81 90 30 1 3
81 92 6 1 3
82 85 6 4 12
83 89 7 4 12
84 88 18 3 9
86 95 6 2 6
87 94 5 5 15
87 94 18 2 6
88 94 14 6 18
92 98 11 6 18
93 96 18 3 9
93 94 19 3 9
94 98 9 5 15
94 97 13 1 3
95 96 23 5 15
95 98 22 1 3
96 97 20 1 3
97 98 13 6 18
97 99 13 2 6
98 100 11 6 18
99 100 12 2 6
99 100 21 6 18
27 44 14 0 0
89 96 23 0 0
90 97 20 0 0
56 97 28 0 0
23 43 14 0 0
76 85 13 0 0
79 94 28 0 0
94 96 6 0 0
67 88 17 0 0
38 81 6 0 0
91 97 27 0 0
12 18 8 0 0
66 72 17 0 0
83 89 28 0 0
15 66 16 0 0
5 51 28 0 0
60 61 8 0 0
63 76 6 0 0
62 75 19 0 0
59 71 28 0 0
78 80 25 0 0
13 23 13 0 0
85 98 20 0 0
12 54 23 0 0
5 37 10 0 0
85 95 27 0 0
8 62 18 0 0
29 44 9 0 0
50 52 17 0 0
35 67 30 0 0
