150 200 160
90 90 180
29 63 46 70 120
1 65 20 4 4 8
2 64 22 3 3 6
3 13 18 3 3 6
4 137 22 5 5 10
5 69 13 2 2 4
6 134 24 2 2 4
7 14 18 3 3 6
8 83 30 5 5 10
9 20 27 2 2 4
10 78 23 1 1 2
11 145 11 6 6 12
12 62 15 4 4 8
13 62 17 3 3 6
13 96 18 2 2 4
14 69 6 5 5 10
15 78 26 3 3 6
16 146 25 3 3 6
17 106 27 3 3 6
18 80 18 4 4 8
18 105 18 5 5 10
19 83 15 6 6 12
21 61 5 6 6 12
22 94 9 4 4 8
24 110 23 4 4 8
24 92 17 5 5 10
25 103 13 3 3 6
26 105 22 3 3 6
26 85 24 6 6 12
27 98 24 3 3 6
28 86 16 5 5 10
28 129 8 6 6 12
29 131 19 4 4 8
30 146 11 5 5 10
31 126 15 4 4 8
32 45 29 3 3 6
33 80 22 1 1 2
34 121 17 4 4 8
36 83 9 4 4 8
38 67 29 3 3 6
39 72 12 2 2 4
40 143 30 2 2 4
41 49 20 1 1 2
42 96 29 5 5 10
44 127 22 6 6 12
45 147 22 4 4 8
46 64 21 1 1 2
48 83 19 1 1 2
50 67 21 1 1 2
51 54 28 5 5 10
51 67 6 4 4 8
52 144 17 3 3 6
54 134 14 2 2 4
55 143 16 6 6 12
56 122 18 4 4 8
57 141 22 2 2 4
58 68 27 1 1 2
58 78 12 3 3 6
59 119 15 3 3 6
60 133 25 6 6 12
61 116 13 1 1 2
62 76 15 2 2 4
63 149 26 1 1 2
64 76 5 5 5 10
65 111 6 6 6 12
66 106 21 4 4 8
66 68 9 4 4 8
66 120 8 2 2 4
67 103 16 6 6 12
68 123 21 5 5 10
69 132 7 1 1 2
69 76 30 6 6 12
70 105 18 3 3 6
72 135 6 4 4 8
73 96 30 2 2 4
74 120 23 2 2 4
75 115 24 5 5 10
76 106 19 1 1 2
76 94 5 6 6 12
78 88 22 6 6 12
78 146 25 3 3 6
79 99 11 4 4 8
79 93 9 4 4 8
80 97 19 2 2 4
81 129 9 5 5 10
82 126 6 5 5 10
84 128 26 2 2 4
86 104 28 1 1 2
87 90 28 5 5 10
87 104 14 5 5 10
88 119 26 5 5 10
89 107 19 3 3 6
89 104 16 2 2 4
90 114 24 6 6 12
91 111 21 5 5 10
93 96 18 5 5 10
94 97 12 5 5 10
96 143 19 1 1 2
97 110 27 5 5 10
101 116 12 2 2 4
101 117 30 6 6 12
101 134 16 2 2 4
102 103 19 4 4 8
103 143 5 1 1 2
103 141 12 6 6 12
104 125 23 6 6 12
105 141 13 5 5 10
106 124 10 5 5 10
107 119 29 1 1 2
108 145 30 2 2 4
109 145 30 1 1 2
110 143 30 6 6 12
112 118 23 5 5 10
113 124 27 6 6 12
113 136 25 4 4 8
113 133 12 1 1 2
114 121 18 3 3 6
114 131 7 4 4 8
115 128 6 6 6 12
117 136 6 4 4 8
118 137 10 2 2 4
119 145 23 5 5 10
120 135 11 1 1 2
121 129 19 4 4 8
121 125 20 2 2 4
122 135 8 2 2 4
122 143 8 6 6 12
123 126 19 6 6 12
125 132 7 2 2 4
126 144 24 3 3 6
126 143 13 5 5 10
126 127 9 6 6 12
127 147 7 4 4 8
128 129 10 1 1 2
129 149 15 6 6 12
130 140 15 5 5 10
132 137 21 2 2 4
132 134 9 3 3 6
133 144 26 2 2 4
134 136 24 1 1 2
134 140 23 1 1 2
135 139 10 5 5 10
137 148 22 1 1 2
138 149 12 5 5 10
139 149 16 4 4 8
140 142 29 1 1 2
140 146 11 2 2 4
140 142 7 3 3 6
141 145 26 6 6 12
142 150 22 1 1 2
143 149 30 5 5 10
143 150 24 1 1 2
144 146 15 2 2 4
144 148 13 3 3 6
145 146 24 3 3 6
145 148 27 4 4 8
146 148 8 2 2 4
147 150 26 6 6 12
148 150 18 4 4 8
148 149 28 4 4 8
149 150 5 1 1 2
116 127 7 0 0 0
20 64 7 0 0 0
92 100 26 0 0 0
49 132 13 0 0 0
8 34 9 0 0 0
47 147 11 0 0 0
55 78 6 0 0 0
32 112 30 0 0 0
98 106 25 0 0 0
123 140 22 0 0 0
77 137 5 0 0 0
124 139 9 0 0 0
115 135 13 0 0 0
53 72 27 0 0 0
131 145 27 0 0 0
79 100 29 0 0 0
99 123 11 0 0 0
111 127 24 0 0 0
83 122 10 0 0 0
28 147 17 0 0 0
128 142 24 0 0 0
78 84 30 0 0 0
37 124 10 0 0 0
56 111 23 0 0 0
82 142 22 0 0 0
106 129 9 0 0 0
43 99 14 0 0 0
136 137 30 0 0 0
29 52 17 0 0 0
52 106 15 0 0 0
23 119 6 0 0 0
91 114 7 0 0 0
85 96 10 0 0 0
71 144 29 0 0 0
100 101 11 0 0 0
95 110 15 0 0 0
87 132 9 0 0 0
65 109 29 0 0 0
35 91 29 0 0 0
18 49 17 0 0 0
